name              dmb     dmb_err   zcmb      c       c_err   x1      x1_err   lmass   lmass_up   lmass_low   lsfr    lsfr_up   lsfr_low   lssfr   lssfr_up   lssfr_low   gmass   gmass_up   gmass_low   p_young   p_highmass   notes
SNF20061030-010   +0.03   0.14      0.0278    +0.13   0.03    +0.26   0.21     8.77    +0.10      -0.10       -1.60   +0.01     -0.01      -10.4   +0.1       -0.1        9.50    +0.10      -0.10       100       0            --
SNF20061111-002   +0.06   0.12      0.0677    -0.01   0.03    +0.37   0.20     7.35    +0.32      -0.42       -2.51   +0.02     -0.02      -9.8    +0.4       -0.3        8.87    +0.10      -0.11       99        0            --
SNF20070330-024   -0.23   0.12      0.0417    -0.09   0.03    +0.46   0.18     8.82    +0.10      -0.10       -2.75   +0.03     -0.04      -11.6   +0.1       -0.1        11.02   +0.10      -0.10       0         100          --
SNF20070331-014   -0.04   0.12      0.0680    -0.00   0.03    -0.66   0.16     7.08    +0.34      -0.41       -3.79   +0.30     -0.50      -10.9   +0.5       -0.6        11.10   +0.10      -0.10       43        100          --
SNF20070403-000   +0.13   0.13      0.0499    +0.08   0.03    -2.12   0.17     8.01    +0.12      -0.12       -2.96   +0.04     -0.05      -11.0   +0.1       -0.1        9.92    +0.10      -0.10       11        19           --
SNF20070424-003   +0.15   0.12      0.0682    -0.03   0.03    +0.35   0.10     7.45    +0.21      -0.22       -3.11   +0.06     -0.07      -10.6   +0.2       -0.2        9.47    +0.10      -0.10       88        0            --
SNF20070427-001   -0.03   0.12      0.0777    -0.12   0.03    +0.69   0.19     7.70    +0.20      -0.20       -4.00   +0.36     -0.59      -11.7   +0.4       -0.6        10.54   +0.10      -0.10       0         100          --
SNF20070429-000   -0.09   0.12      0.0671    -0.04   0.03    -0.87   0.10     7.91    +0.12      -0.11       -2.52   +0.02     -0.02      -10.4   +0.1       -0.1        10.13   +0.10      -0.10       99        90           --
SNF20070506-006   -0.11   0.13      0.0355    -0.04   0.03    +1.19   0.10     7.47    +0.11      -0.12       -2.69   +0.01     -0.01      -10.2   +0.1       -0.1        9.88    +0.10      -0.10       100       11           --
SNF20070531-011   -0.03   0.13      0.0359    -0.06   0.03    -1.60   0.20     8.55    +0.10      -0.10       -2.63   +0.02     -0.02      -11.2   +0.1       -0.1        10.83   +0.10      -0.10       0         100          --
SNF20070630-006   +0.03   0.12      0.0706    -0.04   0.03    +0.38   0.11     7.86    +0.15      -0.15       -2.66   +0.03     -0.03      -10.5   +0.1       -0.1        9.66    +0.10      -0.10       97        0            --
SNF20070701-005   -0.33   0.12      0.0684    +0.01   0.03    +0.07   0.16     8.42    +0.12      -0.11       -2.71   +0.03     -0.03      -11.1   +0.1       -0.1        10.76   +0.10      -0.10       0         100          --
SNF20070712-000   +0.02   0.14      0.0298    -0.02   0.03    -0.03   0.16     8.02    +0.10      -0.10       -2.34   +0.01     -0.01      -10.4   +0.1       -0.1        9.95    +0.10      -0.10       100       29           --
SNF20070712-003   +0.00   0.12      0.0738    -0.03   0.03    +0.59   0.18     7.67    +0.18      -0.18       -3.71   +0.23     -0.42      -11.4   +0.3       -0.5        8.09    +0.14      -0.14       1         0            --
SNF20070714-007   -0.16   0.12      0.0417    +0.25   0.03    -1.17   0.11     8.24    +0.10      -0.10       -2.57   +0.02     -0.02      -10.8   +0.1       -0.1        10.43   +0.10      -0.10       54        100          --
SNF20070725-001   +0.09   0.12      0.0669    -0.11   0.03    +0.71   0.15     7.19    +0.30      -0.34       -2.81   +0.04     -0.05      -10.0   +0.3       -0.3        9.13    +0.10      -0.10       99        0            --
SNF20070727-016   -0.28   0.13      0.0661    -0.08   0.03    +0.28   0.11     7.58    +0.23      -0.24       -4.28   +0.47     -0.60      -11.9   +0.5       -0.7        10.75   +0.10      -0.10       1         100          --
SNF20070802-000   -0.05   0.12      0.0648    +0.06   0.03    +0.06   0.15     7.78    +0.19      -0.20       -4.24   +0.49     -0.62      -12.0   +0.5       -0.7        11.30   +0.10      -0.10       0         100          --
SNF20070806-026   +0.08   0.13      0.0440    -0.09   0.03    -1.72   0.14     7.74    +0.17      -0.17       -4.32   +0.35     -0.54      -12.1   +0.4       -0.6        10.81   +0.10      -0.10       0         100          --
SNF20070818-001   -0.13   0.12      0.0734    +0.05   0.03    +0.18   0.16     7.66    +0.25      -0.26       -3.24   +0.12     -0.17      -10.9   +0.3       -0.3        10.27   +0.10      -0.10       36        99           --
SNF20070820-000   +0.00   0.12      0.0687    +0.08   0.03    -0.31   0.13     8.59    +0.10      -0.11       -2.01   +0.01     -0.01      -10.6   +0.1       -0.1        10.16   +0.10      -0.10       98        94           --
SNF20070831-015   +0.11   0.12      0.0674    -0.02   0.03    +1.93   0.18     8.60    +0.10      -0.11       -2.04   +0.01     -0.01      -10.6   +0.1       -0.1        10.07   +0.10      -0.10       95        75           --
SNF20070902-018   +0.07   0.12      0.0680    +0.04   0.03    -0.69   0.09     8.62    +0.11      -0.11       -2.27   +0.01     -0.01      -10.9   +0.1       -0.1        10.34   +0.10      -0.10       26        99           --
SNF20070902-021   -0.11   0.12      0.0740    +0.01   0.03    -0.16   0.10     8.14    +0.17      -0.18       -2.24   +0.01     -0.01      -10.4   +0.2       -0.2        9.53    +0.10      -0.10       99        0            --
SNF20071003-004   +0.13   0.13      0.0762    -0.03   0.03    +1.19   0.34     7.48    +0.24      -0.25       -3.27   +0.09     -0.12      -10.8   +0.3       -0.3        9.17    +0.10      -0.11       59        0            --
SNF20071003-016   +0.11   0.12      0.0547    +0.09   0.03    -0.09   0.14     8.52    +0.11      -0.11       -2.39   +0.02     -0.02      -10.9   +0.1       -0.1        8.95    +0.10      -0.10       22        0            --
