name              dmb     dmb_err   zcmb      c       c_err   x1      x1_err   lmass   lmass_up   lmass_low   lsfr    lsfr_up   lsfr_low   lssfr   lssfr_up   lssfr_low   gmass   gmass_up   gmass_low   p_young   p_highmass   notes
SN2007nq          -0.18   0.13      0.0439    -0.02   0.03    -1.98   0.22     7.99    +0.14      -0.14       -3.27   +0.07     -0.09      -11.3   +0.2       -0.2        11.51   +0.10      -0.10       0         100          10
SN2009hi          -0.05   0.13      0.0399    +0.15   0.03    -2.30   0.09     8.39    +0.11      -0.11       -4.13   +0.49     -0.79      -12.5   +0.5       -0.8        11.73   +0.10      -0.10       0         100          12
SN2010dt          +0.04   0.12      0.0529    -0.07   0.03    -0.03   0.09     7.37    +0.20      -0.20       -3.37   +0.07     -0.08      -10.7   +0.2       -0.2        10.59   +0.10      -0.10       64        100          12
SN2010ex          +0.27   0.15      0.0216    -0.07   0.03    +0.38   0.12     7.84    +0.10      -0.11       -2.52   +0.01     -0.01      -10.4   +0.1       -0.1        9.72    +0.10      -0.10       100       0            14
SN2011bc          -0.03   0.15      0.0218    +0.10   0.03    +0.05   0.10     8.77    +0.10      -0.10       -2.35   +0.01     -0.01      -11.1   +0.1       -0.1        10.86   +0.10      -0.10       0         100          15
SN2011be          +0.13   0.13      0.0356    -0.09   0.03    +0.16   0.23     7.85    +0.11      -0.10       -2.55   +0.01     -0.01      -10.4   +0.1       -0.1        11.18   +0.10      -0.10       100       100          1
SN2011ga          -0.03   0.13      0.0381    -0.06   0.03    -0.28   0.17     7.23    +0.21      -0.22       -4.34   +0.46     -0.93      -11.6   +0.6       -0.9        10.61   +0.10      -0.10       5         100          1
SN2011ho          +0.27   0.14      0.0328    +0.05   0.03    -1.92   0.17     8.67    +0.10      -0.10       -4.69   +0.44     -0.65      -13.4   +0.5       -0.7        11.40   +0.10      -0.10       0         100          1
SN2011hv          -0.02   0.15      0.0285    +0.47   0.04    +1.12   0.51     8.51    +0.11      -0.10       -2.53   +0.01     -0.01      -11.0   +0.1       -0.1        10.71   +0.10      -0.10       1         100          16
SN2013be          -0.23   0.12      0.0670    +0.04   0.03    +0.43   0.17     8.08    +0.14      -0.14       -4.17   +0.41     -0.71      -12.3   +0.5       -0.8        10.90   +0.10      -0.10       0         100          17
SN2013bs          +0.03   0.14      0.0275    -0.02   0.03    -2.18   0.21     6.70    +0.31      -0.37       -5.22   +0.40     -0.57      -11.9   +0.6       -0.7        11.09   +0.10      -0.10       2         100          1
SN2013bt          +0.05   0.13      0.0367    -0.11   0.03    -2.12   0.14     6.87    +0.29      -0.34       -3.92   +0.33     -0.59      -10.8   +0.5       -0.6        10.98   +0.10      -0.10       51        100          1
